entity,attribute,answer
ackerman,名字含义,指封建制度下的佃农
法国碧尚女爵堡干红葡萄酒,年份,2007/2008
钛及钛合金铸锭能源消耗限额,管理部门,中国有色金属工业协会
遥测技术,输入设备,包括传感器和变换器
杰克·尼科尔森,最佳男主角,最佳男主角1975年《飞越疯人院》1997年《尽善尽美》最佳男配角1983年《母女情深》
胡蜂号航空母舰,舰载机,36架f6f，37架sb2c，18架tbf
长沙观园,住户数目,800户
萃雅美白爽肤水,主要功效,赋予肌肤水灵柔嫩触感等
悍马hx,引擎,3.6lv6
柴埠溪,特色景观,茂林、幽谷、奇石、险峰
俄罗斯足球甲级联赛,球队数目,20
《末路狂花》,制片成本,",500,000(estimated)"
北塞浦路斯土耳其共和国,政治文化,北塞浦路斯土耳其共和国宪法
美国之声第一季,语言,英语
兄弟tze-354,适用机型,兄弟pt-2430pcz/2730/3600/7600
电动平板车,主要应用,电动升降运水坯车
intelceleron42.4g,核心类型,northwood
浪花的槌之子,上架日期,2007-08-0705:43
vx939t,款式,黑、白
"法兰西的""恺撒""“卡车载炮兵系统”",展出时间,1994年6月
卢克·沃洛,圈内好友,agynessdeyn、carmenkass等
社会民主党,欧洲组织,欧洲社会党
景鹰高速公路,公路设施,11
美国国家安全局,机构概要,1952年11月4日，62年前
第48届奥斯卡金像奖,主持人,戈尔迪·霍恩
罗马仕ph40,输入,dc5v
亚亚·图雷,俱乐部号码,1900年2月11日
移山倒海,成语结构,联合式
马普龙,生存年代,8700万年前的白垩纪晚期
古龙群侠传v1.5版,地图版本,v1.5版
国家赔偿,通过日期,1994年5月12日
文件目录索引小助手v2006.5,软件语言,简体中文
黑色赦免者,需要,锻造（300）
江苏金湖鑫源仪表有限公司,经营方针,质量第一顾客至上
罗汉纹,指代,传统瓷器纹饰
湖南学历教育网,经营项目,mba、dba学位教育项目等
绥化市惠民殡葬办法,执行时间,2011年6月1日
lgwd-12175nd,水位选择,八段
黑河学院,国家重点学科,2个
华东土产杂品市场,区域类别,市场
驿路网,涵盖,机票、酒店、度假、游戏查询
寂静之咏叹,体力,100
1628年,大事件,宁远兵变
amepa,传感器,发射线圈和接收线圈(双线圈)组成
whatsappmessenger,收费,每年收费0.99美元
水库调度,指标,允许最高水位，防洪限制水位
通海地震,震中经纬度,北纬24.06度，东经102.35度
二加元硬币,设计时间,2003年
中华农业英才奖,面向对象,全国农业科技工作者
长征七号运载火箭,首飞时间,2016年4月（预计）
岩栖蝮,拉丁文名,gloydiussaxatilis
中国科学院极端条件物理重点实验室,行政隶属,中国科学院
燃气锅炉安装与维护,详细,给您燃气锅炉的安装调试的问题
2011年临床执业医师应试指南,主编,：汤以恒、冯楠
龏,字义,古同“恭”。◎升。
谷歌play电影,软件等级,★★★★☆
谷歌play电影,呼号,airvan
德赛m668,标准配置,锂电池，充电器，耳机，数据线(视包装及促销方式而定)
亭渊站,废站年月日,1950年6月25日
山东鲁能泰山足球俱乐部2008赛季,平均观众,"26,501(联赛)"
花神少女爱作梦,发行机构,东立出版社
巴斯克维尔的猎犬,原创音乐,robertlane
台湾盲鳗,濒危状态,不在iucn濒危名单中
中国2010年上海世博会哥伦比亚国家馆,造型亮点,生动太平洋，加勒比沙滩，安第斯咖啡种植业，亚马孙雨林
活人祭祀,主要目的,祈求神灵赐福
月苋草油软胶囊,服用方法,每日1-2次，每次1-2粒
应急预案,学科分类,公共社会学
2013年1月西北太平洋炸弹低气压,最低气压,936百帕
土族婚俗,流程,提亲、定亲、婚礼仪式、谢宴等
游戏竞技,兴起时间,1905年6月
迪拜风中烛火大厦,完工,2009年
色差分量输出,标识,ypbpr和ycbcr
甘介,所属民族,瑶族
养车之家,支持语言,中文
秦穆公,葬于,雍（今陕西宝鸡凤翔东南）
马自达grandfamilia,变速器,四速手动排档
贾斯汀西娜中学,最近城市,"napa,加利福尼亚州"
阿什福德,os格网参考,tr005425
乌兹别克职业足球联赛,联赛系统级别,1
戴尔v3400-336,最高睿频,2930mhz
我是谁,专辑类别,录音室专辑
郑钤丹,最喜欢的动物,白兔小狗
新轩逸2.0xv尊贵型navi版08款,生产状态,停产
babyplus宝宝佳,针对人群,孕妈妈
微星k9nneo-f主板,芯片,nforce550
英国勇猛号两栖攻击舰,研制国别,英国
杭州千岛湖高尔夫乡村俱乐部,设计公司,golfplan
深圳市圳达中央空调安装有限公司,术语,16个
新一方装饰,分公司,乐清新一方装饰有限公司
金石村,社区,2个
深度旅游,提出单位,西方旅游界
韩国艳照门,参与,韩国某著名男性艺人
大同军,治理,山西大同市城区
哈尔湖,流域国家,蒙古国
仡隆语,语族与语系,壮侗语系
中国摄影博客圈,创建人,安城摄影
西南普法尔茨县,汽车牌号,ps
泰国素辇象节,其他日期,11月的第三个周末
昂达8800gt1gb神戈,显存速度,1.0ns
质量信得过单位,颁发单位,全国各省市质协或者质量监督部门
技嘉ga-b85-hd3,最大内存容量,32gb
普林斯顿号航空母舰,其它,2座升降台1座弹射器模版参考来源：[1]
京瓷3925dn,预热时间,17秒
莫·哈克雷斯,中文全名,莫里斯·乔斯·哈克雷斯
意大利“西北风”级护卫舰,舰长,122.7米
多闻天珠,冷却时间,-10%
孟津职教中心,项目占地,248.94亩
怒火裂片妖,卡牌版本,timespiral
西安科技大学人文与外国语学院,专业设置,政治学与行政学，法学
吉罗德·约克逊,所属作品,《约克逊是个郡》
温莎,邮区,sl4
2013年机电一体化与自动控制系统国际学术会议,会议时间,2013年08月10日-08月11日
水潺饼,发明,渔民
syfy,总部所在,美国纽约
王宁,主持节目,新闻联播
往事不堪回首,文件格式,void+mp3
飞克斯,公司使命,提供专业放心的维修服务
上海园山大酒店,酒店设施,停车场、行李存放服务、
佳能pixmaip2200,分辨率,4800*1200dpi
诸圣堂,所属宗派,罗马天主教
校车安全监控系统,统计,近30000名学生丧生
阿什福德,邮镇,ashford
山水62c,供电方式,220v～50hz
青瓷飞鸟百戏堆塑罐,材质,瓷
鸡泽县,汽车站,鸡泽客运站
关于开展深入治理垃圾短信息专项行动的通知,相关机构,国家环保局
ss-24导弹,弹径,2米
非集合概念,相对,集合概念
尼山和谐宣言,倡导,和谐世界、和而不同
伊雪,兴趣,拼图、看书、听音乐
饶阳公主,夫之母,章武公主
地热供暖系统,代谢,促进新陈代谢
民生路,道路旧名,乌第纳亲王道北东马路东圆圈佛罗伦萨道南东马路工部前街河东五路
sis756,sata接口,sata1.0
1999年9月6日,岁次,己卯年，壬申月，辛酉日，兔年
森麦sm-hd408m.v,单元直径,40mm
达洛航空公司,两字代码,d3
御福馨舒经茶,产品成分,药用玫瑰萃取物
上海交通大学人文学院,副院长,唐一中、李咏吟
光大银行阳光行车卡,基本功能,信用消费、预借现金、转帐结算
中科院博士合唱团,指挥,林玉赤
乌克兰推出新型雅塔甘主战坦克,战斗全重,48吨
森泰斯non-604,外观特征,"黑,兰"
四川农业大学园艺学院,建成于,2009年
财政部国家发展改革委关于调整高效节能空调推广财政补贴政策的通知,结束日期,2011年5月31日
h410a型直升机,研制公司,哈尔滨飞机工业集团
陈省身夫妇纪念碑,落成时间,2011年6月18日
企业vi,基本原则,vi的设计不是机械的符
美国国家运输安全委员会,年度预算额,7670万美元
迈摩尔甲龙,含义,采石场的覆甲恐龙
中华路,主要结点,兴仁路文化路自强一路普忠路、南园路中园路、忠义路延平路普义路
甜妞儿,电影公司,派拉蒙家庭视频公司
k9461次,运行区段,重庆北—秀山
常州九洲服装城,从业人员,4000多人
山东轻工业学院经济管理学院,院校类型,综合
印江指环虫,寄生部位,鳃
易车铁,密度,7.85cm/g*3
竹山县邓坪食品工业园区,规划总面积,1000亩
环线,使用车辆,伦敦地铁s7型列车
奥果韦河,平均流量,558立方米立方米
万茜,音乐成就,第七届全球华语歌曲排行榜最受欢迎新人奖、亚太音乐榜2006－2007年度最佳多栖发展新人奖
尖头花属,属拼音名,jiantouhuashu
纸箱战机wars,对白,日语
超级调教系统,最后更新,2011-10-27
三府,广义,汉制，三公皆可开府
对甲氧基苯甲醛,摩尔质量,136.15
东京印象2010,节目时长,30分钟
扔球杂技,游戏开发商,emiamdevelopment
getlastactivepopup,函数功能,该函数确定指定窗口中的哪一个弹出式窗口是最近活动的窗口
广西长洲水电开发有限责任公司,公司注册地,广西梧州市
sus201不锈钢带,伸长率,δ5(%)：≥40
海信led39k370x3d,背光灯类型,led发光二极管
无线音乐台,频道类别,音乐、娱乐及生活
金正恩,副职,金永南、崔永林、崔龙海
德涅斯特河沿岸,官方文字,摩尔多瓦语俄语乌克兰语
迭戈·科斯塔,曾效力俱乐部,巴利亚多利德，巴列卡诺
计算机应用基础,作者,秦婉，王蓉
计算机应用基础,出版社,机械工业出版社
高等数学,出版时间,2004年
戴维斯,国籍,美国
高等数学,isbn,9.7873E+12
高等院校素质教育“十二五”规划教材,书名,职场博弈素质培养
mc,外文名,emcee
王平,出生日期,1954年
彼岸之界,小说进度,情节展开
剑魔传,连载网站,天涯读书
线性代数,页数,142页
龙泉镇,中文名,龙泉镇[四川省成都市龙泉驿区]
刘勇,出生地,江苏南京
高等数学,定价,28元
王伟,职业,画家
城关镇,中文名称,城关镇
李军,民族,汉族
全球通史,装帧,软装
神雕侠侣,类型,古装，武侠，爱情
苏琳,性别,男
高等数学,开本,787x9601/16
苏宁易购,公司名称,苏宁云商集团
红,类别,恋爱少年
王强,毕业院校,第二军医大学
张孝全,国籍,中国（台湾）
申万菱信基金管理有限公司,总部地点,上海市黄浦区中山南路100号
李静,性别,女
河边村,面积,1.59平方公里
向阳村,所属地区,云南省大理市云龙县团结彝族乡
东山村,地理位置,位于高平市市区东部
路虎,成立时间,2014年（甲午年）
陈平,职业,四川省骨质疏凇专委会委员
商务星健身管理软件,经营范围,健身俱乐部管理软件
夕颜,中文学名,月光花
王磊,出生年月,1971年
钩吻属,界,动物界
李鑫,别名,大猩猩
李敏,主要成就,各类统考课程教学成绩一直名列前茅，教学成果显著。
雅芳,公司性质,零售（2014中国区）
张庄村,人口,972
冬虫夏草,科,麦角菌科
朴智彬,英文名,parkjibin
《神雕侠侣》,类别,剧情动作
于洋,代表作品,普法栏目剧
乌龟,门,脊椎动物
map,性质,stl的一个关联容器
陈刚,籍贯,重庆市
疯狂坦克,游戏类型,射击小游戏
十姐妹,目,燕雀目
莲花山,地点,长春莲花山
知母,纲,单子叶植物纲
斐迪南一世,逝世日期,1948年9月10日
张勇,民族,明
霸气,拼音,baqi
圣地亚哥,外文名称,santiagodeveraguas
苹果,拉丁学名,maluspumilamill.
黎明村,行政区类别,村
南煎丸子,分类,北京菜
白头翁,属,白头翁属
张磊,身高,180cm
宝华寺,地区,江西赣县
咏菊,作品名称,咏菊
采莲曲,创作年代,隋代
红楼梦,导演,李少红
香兰茶,特点,香兰红茶香气清甜纯正，滋味浓
平壤之战,时间,明万历二十一年（1593）
姬松茸,中文学名,巴西菇
天堂鸟,界,动物界
八哥,别称,寒皋、鸲鹆、花鹆、哵哵鸟
李敏,出生地,广东梅县
野望,文学体裁,五言绝句
瓦格纳,国家,巴西
倭叉角羚,纲,哺乳纲mammalia
极乐吻鰕虎,门,脊索动物门chordata
长柄船蛆,科,船蛆科
呼啸山庄,制片地区,美国/英国
巴恩斯,运动项目,拳击
真相,译者,陈睿杨通
张娜,体重,72公斤
地鸠属,目,今颚总目(neognathae)
《兄弟》,作者,余华著
金山中学,创办时间,1999年
倚天屠龙记,主演,吴启华，黎姿，佘诗曼
王强,毕业院校,湖北音乐学院
石门,出处,《赠丹阳横山周处士惟长》
焖子,主要食材,地瓜淀粉精瘦肉
南湖公园,占地面积,1500亩
《人物》,语种,英文
《内科学》,出版社,北京大学医学出版社
雷锋日记-拼音版,副标题,雷锋日记
雷电,游戏大小,7.87mb
薄叶卷毛梾木,属,梾木属
万达广场,地址,泉州浦西
神雕侠侣,上映时间,1998-06-02
西藏大学,属性,211工程中西部高校基础能力建设工程西藏自治区人民政府与教育部共建高校
《鲁迅全集》,出版时间,1981年
笑傲江湖,语言,中文
《战略决定成败》,装帧,精装
龙泉镇,所属地区,中国四川
环菊珊瑚,分布,台湾、菲律实、红海海域
白芷,种,白芷
蒲公英,分布区域,东北、华北、华东、华中、西南等地
因为有你,发行时间,2011年
安娜·卡列尼娜,编剧,winstonbeard
杨皇后,本名,杨皇后
状元及第粥,口味,咸味
文峰塔,位置,甘肃省陇西县文峰镇迎春堡村
《幽灵船》,isbn,9787547003985
罂粟,种,罂粟p.somniferum
馒头,主要原料,面粉，水，酵母
中心村,电话区号,746
李家村,海拔,1900米
事功,释义,指为国勤奋努力工作的功勋
《门》,价格,￥20.00
陈文,代表作品,国际杂志论文；国际会议论文
《兄弟》,开本,16开
辞职报告,名称,辞职报告
罪与罚,对白语言,俄语
方便面,是否含防腐剂,否
周迅,别名,周公子、周一条
伟大,注音,ㄓㄨˋㄧㄣ
礼物,歌曲原唱,许巍，汪峰，周晓鸥，马上又，栾树，丁武，张楚，李延亮，高旗
大闹天宫,开发商,璇玑网络
中山大学,简称,中大（sysu）
奥图码pv3225,产品类型,娱乐投影机
西城街道,人口,62298人
《不朽》,页数,193页
石桥镇,面积,87平方公里
丁宁,身高,168厘米
第十二夜,片长,155min
cid,解释,连续相同码/数字
张迪,星座,射手座
长安raeton,品牌,长安raeton
西区,• 密度,"3,400/平方公里（8,900/平方英里）"
贵妇犬,亚纲,真兽亚纲(eutheria)
缘鳍海猪鱼,英文名,two-eyedwrasse
濽,拼音,zàn、cuán
陈杰,籍贯,江西省永修县
多花组,二名法,sect.decalobadc.
阿灵顿,时区,美国中部时间
狗,亚纲,真兽亚纲
koyoh414235/10轴承,型号,轴承
杨皇后,所处时代,北魏
絮絮叨叨,释义,形容说话啰嗦唠叨
因为有你,填词,王子
恒大金碧天下,楼盘名,恒大金碧天下
城隍庙,位于,平遥古城城隍庙街东段
联合村,隶属,麒麟区珠街乡
赛龙镇,行政区类型,乡镇
《哈姆雷特》,上映地区,美国|英国|法国
因为有你,所属专辑,《月球漫步》
幸福里,建筑面积,94349.30平米
李尔王,出品时间,1969年
凤凰镇,地理位置,大山深处的凤凰古镇位于柞水县东南部，地处秦岭南坡
总督府,市镇,新南威尔士悉尼皇家植物园
因为有你,谱曲,潘玮柏
拼搏奥运连连看,大小,258kb
兴隆镇,上级行政区,黑龙江省哈尔滨市巴彦县
《哈姆雷特》,主演,梅尔·吉布森|格伦·克洛斯|阿兰·贝茨
《美女与野兽》,上映时间,2005年10月27日
安娜·卡列尼娜,出品公司,米高梅
城关镇,著名景点,龙岗公园
克里斯蒂安,所属运动队,重量 摔跤
龙珠,原版名称,七龙珠
卡温顿,• 夏令时,edt（utc-4）
张胜利,政治面貌,党员
兴隆镇,行政区划代码,230126101
坡脚村,气候条件,"年平均气温22.00℃，年降水量1,560.00毫米"
何家驹,出生,1951年3月14日英属香港九龙城
王森,去世年月,1985年
进击的巨人,丛书,讲谈社comicsmagazine、premiumkc（限定版）tonglicomics
《哈姆雷特》,画面颜色,彩色
异叶黄钟木,英文名称,"pinkmanjack,"
新城街道,村级区划单位数,14
东芝c600-c31n,屏幕尺寸,14.0英寸
王志坚,政党,1922年年，王志坚在济南加入中国共产党
轩辕剑,游戏平台,pc（dos）
新城街道,-社区数,1900年1月5日
古城镇,-行政村数,25
兴隆镇,地理、人口、经济,201.3平方公里
国家电网公司,公司口号,你用电，我用心。
摇篮曲,歌曲语言,中文，英文
慧聪网,员工数,4500人（2014年）
亚当斯县,网站,www.co.adams.wi.us
书剑恩仇录,集数,40集
吴鹏,字号,雄飞
蚕豆,亚科,蝶形花亚科
希舒美,药品名称,希舒美?
恒大金碧天下,物业类别,别墅
蒂埃里·亨利,主要奖项,代表摩纳哥队获得法甲联赛冠军代表法国队夺得98年世界杯冠军
洛基,登场作品,《圣斗士星矢》
呼啸山庄,其它译名,新呼啸山庄
彼得斯多夫,邮编,8323
哈迪斯,其他名称,冥王、冥神、冥帝、全宇宙一切生命的统治者
关帝庙,定义,山西省阳泉市庙宇
燕太子丹,国籍,春秋战国时期北燕国
米尔顿,州,特拉华州
串烤山鸡,辅料,生菜
三个火枪手,又名,三剑客、三铳士、侠隐记
枣花蜂蜜,适宜人群,一般人群均可食用，幼儿不宜
潍坊伊博士整形医院,简介,纯韩整形美容机构
中山纪念堂,编号,5-79
哈库拉岛,酒店星级,四星级
李静,血型,o型
刘节,出生时间,1476年
在水一方,音乐风格,流行
侏儒一节,用法,作宾语、定语；指局部
大闹天宫,发行商,"璇玑网络,7k7k"
杀人蜂,亚门,六足亚门
杨皇后,去世时间,508年
黄金蟒,亚门,脊椎动物亚门
花卉种苗,目的,花卉种子、种球、苗（木）生产
伊比拉,属于,哥斯拉系列电影中出现的怪兽之一
永安镇,邮政区码,234000
白沙镇,下辖地区,三口，高屋，黑石山村等地
《告密者》,影片片长,108分钟
贼臣逆子,结构,联合式
刘强,职业,科学家
玉阶怨,作者,李白
开心宝贝之开心星星球,系列,开心宝贝第五部
太平镇,地方特产,冬枣
p20hh钢材,用途,热塑性塑料吹塑模具
城隍庙,时代,1926年
芦苇,族,芦竹族
棕熊,亚科,熊亚科(ursinae)
弹片,含义,[shellfragment;shrapnel;
白鲳雪菜,调料,辣椒、葱段、姜片、盐、高汤
白沙镇,方言,重庆方言
nintendogamecube,上市时间,日本：2001年9月14日
南庄村,耕地面积,2750亩
女皇之刃,发行日期,2014年[1]
崇州市国家税务局,姓名,陈利强职务
钩针编织,正文语种,简体中文
罗杰斯,场上位置,四分卫
古城镇,知名产业,三粉加工、中药材种植、烟叶生产。
血府逐瘀口服液,药品类型,处方药、基本药物、医保工伤用药
小葱鸡蛋馅饼,配料,鸡蛋、面粉、花生油
乐咖啡,餐馆名称,乐咖啡
花山镇,省,湖北省
帝国理工学院,校训,scientiaimperiidecusettutamen(知识是帝国永续的支柱）
怪物实验室,评分,1900年1月4日
风虎云龙,出处,周易·乾》：“云从龙，风从虎。
澳门广播电视股份有限公司,成立,（启播）1984年5月13日（30岁209天）
杨光,星座,巨蟹
爱上你,编曲,吕绍淳
白沙镇,车牌代码,豫a
行路难,年代,南朝梁
石器时代,游戏类别,回合制角色扮演
exo-l,上线时间,韩国时间2014年8月5日上午12点
华盛顿大学,现任校长,michaelk.young
上海假日之星酒店（长宁店）,酒店地址,上海长宁区长宁路250号
flower,唱片公司,sonymusicassociatedrecords
张宇,外文名,philchang
李明,姓名,李明
李敏,学历,研究生学历
北京世纪华天大酒店,房间数量,365
战侠ol,游戏语言,中文
乔治·沃克·布什,个人资料,男
黄秋葵,产地,原产美国东部。中国江西萍乡等
百花小区,楼盘地址,济南市历城区华龙路2150号
新高港,对象,中部的产业发展
《美女与野兽》,编剧,让·谷克多jeancocteau
基围虾,中文别名,麻虾、虎虾、花虎虾、泥虾、新对虾、砂虾、红爪虾。
我爱你,发行公司,北京橙天嘉禾影视制作有限公司
环境规划与管理,版次,2
李红,职称,教授
中国新闻出版研究院海峡分院,实质,围绕两岸出版交流合作
台北孔子庙,所在地,台湾台北市大同区大龙街275号
资产预计未来现金流量,内容,资产持续使用过程产生的现金流入
城郊乡,政府驻地,富康社区
手表摄像机,功能,支持录像/拍照/录音
纪欣妤,经纪公司,可米制作
cp,来源,跑跑卡丁车
styleiconawards,主办单位,cje&m
步步惊心,制片人,叶华，程兴
李敏,出生日期,1961年3月
喜欢你,歌曲时长,03：59
恒大金碧天下,绿化率,45%
芦苇,族,芦竹族
玉阶怨,作品出处,《全唐诗》
线性代数,字数,246千字
仪器设备管理系统,优点,设计思路先进
皇冠国际,行政区域,高新西区
羟基乙叉二膦酸,分子量,206.03
列夫·达维多维奇·托洛茨基,逝世,"1940年8月21日（60岁）（遇刺）df,mexico（英语：mexicanfederaldistrict）科约阿坎区"
无锡侬侬婚纱摄影,营业时间,am8：00~pm21：00
索尼e17,内存容量,6gb内存类型ddr3
徽宴楼（濉溪路店）,人均价格,102
金毛,亚目,犬形亚目(caniformia)
万寿寺,原名,聚瑟寺
暗潮传媒,创始人,王武力
玝,笔画,8
ipadmini2,重量,331g
定春,地位,动漫《银魂》中的吉祥物
六经,词性,名词
太平洋星,发现日期,"march30,1882"
2004xp14,发现,2004年12月10日
江淮官话,又称,淮语、下江话
沥口村,所属国,中国
潘梦莹,民族,汉
格林维尔,县,"madisoncounty,florida"
兔子和猫谈恋爱4,游戏站点,4399小游戏
驰为速padminiv88,存储容量,2gb
鹤顶红,物理特征,无臭无味，白色霜状粉末
易迅网,应用平台,ios
擎,部首,手字底
越式粉丝豆腐,主料,板豆腐、粉丝、木耳、胡萝卜
得出,例句,他得出这个结论是多次考虑的结果
雨神星,升交点黄经,169.296°
雨神星,近日点参数,67.637°
李贺诗囊,出自,陆游《衡门独立》
氯化钡,分子式,bacl₂
可可,年龄,27岁
西北大学,创建时间,1851
房利美,公司类型,国有企业
爱酷,软件大小,7.63mb
兰道夫县,成立于,1821年2月5日
小村,年平均气温,13.9℃
榆阳区巴拉素镇中学,学生人数,600
南山寺,气候类型,热带海洋雨林季风性气候
上海紫藤宾馆,开业时间,1990年2月18日
妙音符咒师,别名,无
21cake,主要营养成分,奶油芝士
天眼,拍摄地点,济南市公安局
石家庄科技工程职业学院,教师人数,200多人
nexus7,操作系统,android4.1
本田圭佑,惯用脚,左脚
nsknj238+hj238轴承,内径,190mm
loving,发行时间,2006-09-15
费尔南多·托雷斯,球衣号码,19号
尼柯尔·桑伯恩,所属,纽约州第七民兵团（1861年）
司音星,小行星分类,mainbelt小行星带
星辉疗湿痛胶囊,规格,每粒400毫克，每瓶60粒胶囊
国民革命军第十八军,前身,“五省联军”的第九师
杨幂工作室,所属公司,嘉行天下
杨洋,血型,ab型
李元中,朝代,隋朝
观音寺,占地,约700平方米
刀剑神域：无限时刻,玩家人数,单人
东庄村,总面积,4.3平方公里
织女一,赤经,18h36m56.3s
sga,组成,共享池
臭氧,应用,用于医学、农业、餐饮业、杀菌、除甲醛等
卡通测试,应用版本,1
染色体,意义,记载遗传信息
上海阿斯玛不锈钢阀门有限公司,宗旨,"科技领先,技术创新,经营诚信"
qq音乐,软件语言,简体中文、英文
超导无轴陀螺空天载具,领域,物理科学
柱七,赤纬,+32°11′31.278″
白沙镇,火车站,郑州市新东站
娄山中学,荣誉,上海市科技教育特色学校
同名专辑,专辑歌手,薛之谦
绝地争霸,游戏画面,2.5d
赵敬,民族族群,沙陀人
紫金华府,物业公司,无锡太湖世家物业管理有限公司
不死冥神系列玄幻小说,应用名称,不死冥神系列玄幻小说
acer4735z-422g25mn,cpu型号,intel奔腾双核t4200
旭光村,所属市,肥东县
奥伦多夫,人口（2011）,"9,825"
乾陵,建成时间,唐光宅元年公元683年
玄妙观,所在,江苏省苏州市
贝加莫省,邮政编码,24100
财政学,出版社,中国人民大学出版社
诛仙,出版日期,2006年4月15日
白云山,开放时间,08:00--17:30
五指山翡翠谷,容积率,1900年1月0日
雅芳,年营业额,113亿美元（2013年）
中山大学,主要院系,管理学院、中山医学院、信息科学与技术学院、社会学与人类学学院等
白凤凰,配音,邹亮（动画第1部）谢添天（动画第2、4、5部；姐妹篇；动画衍生游戏等）[3] 蒋可（动画第3部）
临草2号,审定编号,晋审饲草（认）2010001
靖沧浪,身份,倾波族凌主、太荒神决六圣护之一
白云山,所在地区,广州市白云区
神雕侠侣,每集长度,41分钟
中山纪念堂,登录,2008年
《哈姆雷特》,电影公司,美国哥伦比亚电影公司
戴尔latitudee6430s-106tb,产品定位,商用
htc,总部所在地,台湾省桃园县
《白鹿原》,其他,获第四届茅盾文学奖。
恒大金碧天下,城区,眉山市彭山县
麒麟村,省份,广东省
《内科学》,简介,“一病一页速成系列”便携、实用，它不仅有助于住院医师繁忙而又长时间的临床工作，同时对于那些将要接受资格考核、准备从事临床工作的读者也是一套很好的参考书籍。
牛奶面包卷,材料,酵母(干)6克
容声bcd-225dc,产品类别,产品类别
《无人生还》,字数,130000万字
牛奶蜜豆冰糕,原料,牛奶350毫升、鸡蛋1个
越南国旗,名称,越南人民军军旗
黄豆芽,副作用,忌食黄豆芽性寒，慢性腹泻及脾胃虚寒者忌食。
山楂茯苓颗粒,用途分类,内科
异维a酸胶丸,是否处方药,处方药
十笏园,建筑类型,园林建筑
天气预报员,级别,uk:15brazil:14usa:rsweden:7
惠普compaq6520s(gx547pa),cpu主频,intel酷睿2双核t7250
现代网络管理,平装,236页
天欣泰血栓心脉宁片,功效,降脂抗凝
qtp自动化测试权威指南,原作名,"quicktestprofessionalunplugged,2ndedition"
埋伏,类型,"爱情,战争"
蒂娜,生日,10.18
塞镇,人口（2001）,1913年1月2日
《仙剑奇侠传3》,平台,电脑单机
氐宿四,光谱分类,b8
酱爆鸭,工艺,酱爆
巧克力燕麦饼干,难度,普通
永安镇,机场,徐州观音机场
逆转裁判,制作人,稻叶敦志（gba）松川美苗（3ds）
中国公务员考试网,网站名称,中国公务员考试网
asl,全称,averagesearchlength
凯尔·科沃尔,专业特点,三分精准，抢断意识良好，无球跑动
金琥,二名法,"goldenbarrel,goldenballcactus"
延安路,全长,14220米
透长石,颜色,无色
埃克,区,埃尔普河畔阿韦讷区
xfx讯景8600gt(t84j-ua3b),芯片厂商,nvidia
于洋,出生地点,中国辽宁省海城市
香港信贷,创建地点,香港
王丰,职务,古代数画家
梁山伯与祝英台,首播时间,1997年
上卫,自行(μ),赤经：9mas/yr赤纬：-mas/yr
西门大饭店,周围景观,剥皮寮老街、国家音乐厅、艋舺青山宫、国立台湾博物馆、西门町、二二八和平纪念公园、国家戏剧院、西门红楼、中正纪念堂、总统府、龙山寺
上卫,b−v色指数,0.07[1][2]
拉瓦斯蒂达,自治区,巴斯克自治区
香港信贷,组织形式,国有独资
三星galaxyround,分辨率,1080p
上卫,u−b色指数,0.11[1][2]
dota,特色,游戏的战术多变
丫丫,读音,yāyā
哈雷彗星,轨道周期,76～79年
年轻人,imdb编码,tt0033288
厚望斋,主要作品,《由作文自信到作文成功》
石桥镇,建立时间,1400多年前
自热米饭,主要食用功效,充饥，补充体能
神雕侠侣,监制,李添胜
ultrapixel,发布时间,2013年2月19日
昔神星,近日点,2.7571486au
believe,专辑语言,英语
小行星1811,远日点,3.4749321 au
少卫,r−i色指数,0[1][2]
技嘉ga-990xa-ud3,主芯片组,amd990
木星,半长轴,5.20336301au
圣保罗,大区,东南
岩脚村,国土面积,1.26平方公里
影音之星,特征,持目前主流格式
小行星552,发现地,海德堡
皮康王,用法用量,外用，直接涂于患处，一日两次。
李宏,出生年月,1957-11
亚特·蓝郡,建筑形式,多层
西湖,景点级别,国家aaaaa级风景名胜区
岳优108,选育单位,湖南省岳阳市农业科学研究所
拉科西·马加什,政党,匈牙利共产党
龙山站,距离,53.9km（起点站：逍遥山）3.2km（起点站：首尔）
巴拿马航空,产品服务,航空运输
流星花园,制作,东映动画、富士电视台
穆拉扎诺,人口（2009）,"5,725"
德国法勒vahle,产品,vahle单极滑线
双流县财政局,职责,贯彻执行国家财税方面的法律、
七彩虹镭风x800256m,显卡芯片,radeonx800
启东市人民医院,医院等级,三级综合性医院
松鹤楼,创立时间,清乾隆二十二年（1757年）
太平镇,著名景点,桫椤沟、老码头溶洞、月耳坝经果林、三佛寺、的蛟龙沟
千叶千惠巳,代表作,《小魔女doremi》春风doremi、《妹妹公主》雏子
五家寨村,隶属于,竹基乡六丘村委会
中原银行,注册资本,154.2亿元
刘兰,字,文郁
蒙古四獒,包括,速不台
干扰,学科,系统学
凯利通i806,外观设计,直板式
上海希尔,注册资金,500.00万
《乱世英雄传》,开发商,苏州子恒网络有限公司
计算概论：程序设计阅读题解,丛书名,21世纪大学本科计算机专业系列
异世龙逍遥,小说性质,网络小说
合肥工业大学,主管部门,中华人民共和国教育部
巧克力燕麦饼干,菜名,巧克力燕麦饼干
中国青年党,基本资料,1923年12月2日（91年53天）于法国巴黎
